Qual è il tuo ruolo lavorativo?,Quanti anni di esperienza hai nel settore?,Quale definizione si applica meglio all'azienda per cui lavori?,Quanti dipendenti ha la tua azienda?,Dove si trova la sede della tua azienda?,La tua azienda lavora a progetti open-source?,La tua azienda è sponsor di progetti opensource?,Quale tipologia di progetti open-source utilizzate in azienda?,Porti avanti progetti open-source in modo individuale?,Quali sono secondo te le maggiori sfide/difficoltà quando ci si imbatte in progetti open?,In che modo contribuisci a progetti open-source?,Fai parte di una o più tech community?,Pensi che si possa monetizzare un progetti opensource o crearci un business?,Quali sono i tre progetti/frameworks opensource che utilizzi nel tuo quotidiano?,Quali sono i linguaggi di programmazione che utilizzi di più?
DevOps Engineer / Site Reliability Engineer,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",No,['mancanza di documentazione'],"['creo issues e segnalo bug', 'utilizzo solo i progetti e non contribuisco in alcun modo']",No,"Si, puo essere il core business di un'azienda","['kubernetes', 'terraform', 'vscode']","['bash', 'python']"
HR,da 0 a 3,Startup,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS']",No,['mancanza sviluppisupporto da parte della communityautore'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['laravel', 'terraform', 'vue']",['nessuno']
Full-stack Developer,11+,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework']",Si,['mancanza di documentazione'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, ma non saprei come",['angular'],"['java', 'tyoescript']"
Software Engineer,11+,Piccola - medio impresa,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",1,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, ma non saprei come","['symfony', 'docker']","['php', 'javascript']"
Back-end Developer,11+,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, ma non saprei come",['asp.net core'],"['.net', 'c#']"
System Administrator,11+,Big Company,50 - 500,Italia,Si,2 - 5,"['Databases e Data tools', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, puo essere il core business di un'azienda","['laravel', 'wordpress', 'react']","['php', 'javascript', 'dart']"
Full-stack Developer,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']","['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",No,"Si, ma solo con donazioni","['tomcat', 'react']","['typescript', 'java']"
CTO,11+,Piccola - medio impresa,10 - 50,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],No,No,"['dotnet', 'angular', 'git']","['c#', 'typescript', 'javascript']"
Software Architect,11+,Lavoro come freelance,0 - 10,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['endoflife di una versione', ""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, puo essere il core business di un'azienda","['openjdk', 'springboot', 'eclipse']","['java', 'kotlin', 'bash']"
Back-end Developer,11+,Big Company,Piu di 500,Italia,Non so,Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],"No, ma ci sto pensando","['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,No,['nessuno di questi'],"['c#', 'go']"
Cloud Architect,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Security Tools', 'Containers e Orchestrazione']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],No,"Si, puo essere il core business di un'azienda","['typescript', 'graphql', 'prisma']",['typescript']
System Administrator,da 7 a 10,Lavoro come freelance,10 - 50,Italia,Si,2 - 5,[],Si,['non ho mai riscontrato problemi'],['partecipo alle community dei relativi progetti'],No,"Si, puo essere il core business di un'azienda",['procreate'],['procreate']
CTO,da 7 a 10,Startup,0 - 10,Italia,No,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,No,['react apache nginx'],"['java', 'rust', 'c (ebpf+xdp)']"
Software Engineer,11+,Big Company,Piu di 500,Europa,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,['problemi di aggiornamento e patch di sicurezza'],"['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['platformatic', 'fastify', 'node.js']","['typescript', 'javascript', 'react']"
Software Architect,11+,Piccola - medio impresa,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']","No, ma mi piacerebbe","Si, ma solo con donazioni","['fastify.js', 'fastapi', 'massive.js']","['javascript', 'python', 'c++']"
Full-stack Developer,11+,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS']",Si,"['mancanza di documentazione', 'installazione e configurazione']","['creo issues e segnalo bug', 'utilizzo solo i progetti e non contribuisco in alcun modo']",No,"Si, puo essere il core business di un'azienda","['springboot', 'camel', 'kafka']","['java', 'typescript', 'bash script']"
Back-end Developer,da 0 a 3,Big Company,Piu di 500,Italia,Si,5+,"['Nessuno', 'IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Opensource Hardware', 'Security Tools', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'installazione e configurazione', 'uxui']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, puo essere il core business di un'azienda","['springboot', 'flask']","['python', 'java']"
Data Analyst / Data Scientist / Data Engineer,da 0 a 3,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'installazione e configurazione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['tensorflow', 'pytorch', 'python']",['python']
Front-end Developer,da 7 a 10,Piccola - medio impresa,50 - 500,USA,No,2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,['mancanza sviluppisupporto da parte della communityautore'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, puo essere il core business di un'azienda","['react', 'vscode', 'vite']","['typescript', 'css', 'php']"
Software Engineer,da 0 a 3,Piccola - medio impresa,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['selenium', 'appium']","['python', 'java', 'dart']"
Tech Lead,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",No,"['mancanza di documentazione', 'problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']","Si, sono un Founder o un Community Lead",No,"['react', 'node.js', 'mongodb']","['javascript', 'java']"
Software Engineer,da 0 a 3,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)']",Si,"['installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issue e apro pullrequest per risolvere le issues'],No,"Si, puo essere il core business di un'azienda",['visual studio code'],"['python', 'java', 'javascript']"
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,Non so,1,"['IDE (Vscode, Atomo, Vim etc...)', 'Containers e Orchestrazione']",No,"['integrazione con sistemi gia in uso', 'problemi di performance']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come",[''],"['python', 'julia']"
Tech Lead,11+,Piccola - medio impresa,50 - 500,Europa,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,"['installazione e configurazione', 'uxui', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']",Si,"Si, ma non saprei come","['react', 'react native', 'fastapi']","['python', 'go', 'typescript']"
DevOps Engineer / Site Reliability Engineer,11+,Big Company,Piu di 500,Italia,Si,Non sostiene nessun progetto,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","['integrazione con sistemi gia in uso', 'non ho mai riscontrato problemi']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['kubernetes', 'linux', 'terraform']","['bash', 'python']"
CEO,da 4 a 6,Startup,0 - 10,Italia,Si,1,"['Databases e Data tools', 'Linguaggi di programmazione e Framework']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore', 'integrazione con sistemi gia in uso']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno']","No, ma mi piacerebbe","Si, puo essere il core business di un'azienda","['python', 'vscode', 'mario']",['python']
HR,11+,Piccola - medio impresa,10 - 50,Italia,"Si, anche progetti di rilevanza per il business",2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",No,"['problemi di aggiornamento e patch di sicurezza', ""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']",['partecipo alle community dei relativi progetti'],"Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda",[''],['']
Full-stack Developer,11+,Piccola - medio impresa,0 - 10,Italia,Si,2 - 5,"['Linguaggi di programmazione e Framework', 'CMS']",Si,['uxui'],['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, puo essere il core business di un'azienda","['wordpress', 'django', 'htmx']","['php', 'python', 'javascript']"
System Administrator,11+,Piccola - medio impresa,Piu di 500,Italia,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking']",Si,['integrazione con sistemi gia in uso'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['fedora', 'apache', 'tomcat']",['python']
Full-stack Developer,11+,Startup,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,No,['vue.js'],"['java', 'php', 'typescript']"
Mobile App Developer,11+,Big Company,Piu di 500,USA,"Si, anche progetti di rilevanza per il business",5+,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Cloud Native e Tools networking', 'Security Tools']",Si,"['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', ""migrazione da un progetto open all'altro""]","['creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda",[''],['swift']
CTO,11+,Piccola - medio impresa,0 - 10,Europa,Si,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Security Tools', 'Containers e Orchestrazione']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['laravel', 'vue.js', 'openproject']","['php', 'javascript', 'bash']"
Back-end Developer,11+,Piccola - medio impresa,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma solo con donazioni","['net core', 'drawio', 'k8s']","['c#', 'python', 'js']"
Software Architect,11+,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, ma non saprei come",['springboot'],"['java', 'javascript']"
Tech Lead,11+,Piccola - medio impresa,50 - 500,Italia,"Si, anche progetti di rilevanza per il business",2 - 5,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools', 'Containers e Orchestrazione']",Si,['endoflife di una versione'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues']",Si,"Si, puo essere il core business di un'azienda","['roundcubemail', 'okd', 'fedora']","['python', 'php', 'bash']"
Front-end Developer,da 0 a 3,Startup,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,['mancanza di documentazione'],['creo issue e apro pullrequest per risolvere le issues'],Si,"Si, puo essere il core business di un'azienda","['react', 'reactnative', 'gatsby']","['javascript', 'typescript']"
Full-stack Developer,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],Si,"Si, ma solo con donazioni","['flask', 'django', 'flutter']",['python']
Full-stack Developer,11+,Big Company,Piu di 500,Italia,"Si, anche progetti di rilevanza per il business",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Containers e Orchestrazione']",Si,"['problemi di aggiornamento e patch di sicurezza', 'uxui']",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma solo con donazioni",['angular'],"['typescript', 'c#', 'java']"
Software Engineer,da 0 a 3,Big Company,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Tools DevOps']",Si,"['mancanza di documentazione', 'mancanza sviluppisupporto da parte della communityautore', 'problemi di performance']",['partecipo alle community dei relativi progetti'],Si,"Si, ma non saprei come","['git', 'github', 'newman (postman cli)']","['c#', 'javascript']"
Full-stack Developer,11+,Big Company,Piu di 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando",['problemi di aggiornamento e patch di sicurezza'],['creo issues e segnalo bug'],Si,"Si, ma non saprei come",['.net'],['c#']
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Startup,50 - 500,Italia,No,Non sostiene nessun progetto,"['Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', ""migrazione da un progetto open all'altro""]","['creo issues e segnalo bug', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come","['airflow', 'delta', 'spark']",['python']
Front-end Developer,11+,Piccola - medio impresa,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Tools DevOps', 'Linguaggi di programmazione e Framework']",No,"[""migrazione da un progetto open all'altro"", 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, ma non saprei come","['laravel', 'angular']",['typescript']
Full-stack Developer,da 7 a 10,Big Company,Piu di 500,Italia,"Si, anche progetti di rilevanza per il business",5+,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'CMS', 'Containers e Orchestrazione']",Si,"['mancanza di documentazione', 'installazione e configurazione']",['creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno'],Si,"Si, ma solo con donazioni","['laravel', 'angular']",['php']
Back-end Developer,11+,Piccola - medio impresa,0 - 10,Italia,No,Non sostiene nessun progetto,"['Databases e Data tools', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando","[""migrazione da un progetto open all'altro""]",['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, ma non saprei come","['springboot', 'mysql']",['java']
Software Architect,11+,Startup,0 - 10,Africa,No,Non sostiene nessun progetto,['Nessuno'],No,['mancanza di documentazione'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['non ne uso', 'lavoro in un ambito molto di nicchia']",['java c#']
Full-stack Developer,da 0 a 3,Big Company,50 - 500,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']",No,"[""migrazione da un progetto open all'altro"", 'integrazione con sistemi gia in uso']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, puo essere il core business di un'azienda","['airflow', 'fastapi']",['python']
Full-stack Developer,da 0 a 3,Piccola - medio impresa,0 - 10,Italia,No,Non sostiene nessun progetto,"['Databases e Data tools', 'Tools DevOps']",No,"['mancanza di documentazione', ""migrazione da un progetto open all'altro""]",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma non saprei come",['postgresql'],"['java', 'kotlin', 'vuejs']"
Security engineer / Cybersecurity,da 0 a 3,Big Company,Piu di 500,Italia,Si,5+,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Cloud Native e Tools networking', 'Opensource Hardware', 'Security Tools', 'Containers e Orchestrazione']",Si,"['endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",No,"Si, puo essere il core business di un'azienda","['vscode', 'nuclei']","['go', 'python', 'bash']"
Data Analyst / Data Scientist / Data Engineer,da 4 a 6,Startup,10 - 50,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Containers e Orchestrazione']","No, ma ci sto pensando",['installazione e configurazione'],['utilizzo solo i progetti e non contribuisco in alcun modo'],Si,"Si, puo essere il core business di un'azienda","['airflow', 'fastapi', 'tensorflow']",['python']
Software Architect,11+,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Security Tools']","No, ma ci sto pensando",['mancanza sviluppisupporto da parte della communityautore'],"['partecipo alle community dei relativi progetti', 'utilizzo solo i progetti e non contribuisco in alcun modo']",Si,"Si, puo essere il core business di un'azienda","['vscode', '.net core', 'ubuntu']","['c#', 'javascript', 'python']"
Software Engineer,da 0 a 3,Big Company,Piu di 500,Italia,Si,2 - 5,['Non so'],"No, ma ci sto pensando",['integrazione con sistemi gia in uso'],['creo issues e segnalo bug'],Si,"Si, ma non saprei come",['springboot'],"['java', 'javascript', 'python']"
Full-stack Developer,da 7 a 10,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework']","No, ma ci sto pensando",['non ho mai riscontrato problemi'],"['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'creo issue e apro pullrequest per risolvere issues e aggiungere feature di cui ho bisogno', 'partecipo alle community dei relativi progetti']",Si,"Si, ma non saprei come",['vscode neovim'],['java python javascript']
Software Engineer,11+,Piccola - medio impresa,50 - 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['Sistemi Operativi', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],"No, ma mi piacerebbe","Si, ma solo con donazioni","['springboot', 'docker', 'k8s']",['java']
Software Architect,11+,Startup,0 - 10,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Databases e Data tools', 'Sistemi Operativi', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Cloud Native e Tools networking', 'Security Tools']","No, ma ci sto pensando","['problemi di aggiornamento e patch di sicurezza', 'endoflife di una versione', 'mancanza sviluppisupporto da parte della communityautore']",['utilizzo solo i progetti e non contribuisco in alcun modo'],No,"Si, puo essere il core business di un'azienda","['springboot', 'postgres', 'linux']","['java', 'python', 'scala']"
Front-end Developer,da 4 a 6,Piccola - medio impresa,10 - 50,Italia,No,Non sostiene nessun progetto,"['IDE (Vscode, Atomo, Vim etc...)', 'Linguaggi di programmazione e Framework']",No,"['mancanza di documentazione', 'installazione e configurazione']",['creo issues e segnalo bug'],"Si, sono un Founder o un Community Lead","Si, puo essere il core business di un'azienda",['react'],['js']
Software Engineer,da 7 a 10,Piccola - medio impresa,Piu di 500,Italia,"No, ma mi piacerebbe ne avesse",Non sostiene nessun progetto,['Linguaggi di programmazione e Framework'],"No, ma ci sto pensando","['installazione e configurazione', 'mancanza sviluppisupporto da parte della communityautore']",['creo issues e segnalo bug'],"No, ma mi piacerebbe","Si, puo essere il core business di un'azienda",[''],['c#']
DevOps Engineer / Site Reliability Engineer,11+,Big Company,Piu di 500,Europa,Si,5+,"['Databases e Data tools', 'Tools DevOps', 'Linguaggi di programmazione e Framework', 'Containers e Orchestrazione']","No, ma ci sto pensando","['mancanza di documentazione', 'endoflife di una versione']","['creo issues e segnalo bug', 'creo issue e apro pullrequest per risolvere le issues', 'partecipo alle community dei relativi progetti']",Si,"Si, puo essere il core business di un'azienda","['springboot', 'docker', 'minikube']",['java']
